Medical Code,Procedure Name,Cost
25908,,475.46
87592,,9194.36
7236T,,165.26
8062B,,425.84
13663,,296.81
4893I,,2942.64
77616,,363.92
57496,,3313.88
8794I,,71.9
43882,,315.76
70862,,207.2
70772,,411.04
75607,,258.86
4358H,,158.19
2183J,,63.64
7222A,,166.97
69003,,65.82
3817U,,395.01
7677Q,,4936.71
41263,,109.39
8943K,,6306.91
31444,,200.11
98500,,408.19
22934,,219.85
55220,,379.9
51649,,224.06
8666B,,203.47
40959,,8790.38
14597,,181.26
85790,,244.73
55375,,101.94
61108,,2206.15
51833,,300.67
7237E,,2048.13
59362,,4728.42
51725,,166.21
2383J,,446.14
15219,,352.31
79132,,449.25
14922,,3108.79
63746,,313.73
6877L,,392.7
84162,,317.03
7887F,,312.11
78802,,448.42
8213J,,444.99
40914,,452.98
64671,,117.96
22112,,307.94
6576F,,252.92
2934N,,106.44
1415K,,456.28
14897,,88.22
5103V,,362.34
99846,,170.45
64539,,9298.45
4871I,,8247.73
92675,,362.92
3232F,,434.91
1657B,,385.5
6002Y,,6752.81
4362Y,,276.42
9981T,,346.35
2929R,,356.99
86130,,313.71
6424V,,355.49
7494E,,318.98
4508K,,1027.3
8812A,,303.09
56737,,9137.66
59267,,81.14
81751,,227.01
7205J,,348.69
3760M,,324.5
8599X,,8680.47
6480S,,369.65
4841Z,,2073.36
60116,,160.15
47087,,475.2
4314P,,325.74
3947B,,447.08
13998,,4051.94
73339,,2779.7
93444,,59.77
80094,,368.95
47177,,253.35
50238,,401.11
2795V,,6466.84
5554I,,338.8
7256T,,266.44
19107,,171.43
9603D,,367.46
5340T,,308.49
7259O,,475.96
66342,,478.15
3639T,,388.33
9623R,,329.29
1976Q,,8497.16
5271P,,98.72
5764W,,211.26
7151L,,4090.66
5176J,,391.28
4727Y,,262.23
1296B,,249.78
38776,,390.5
3777X,,492.03
79911,,294.89
3208L,,429.52
2067W,,168.36
5388F,,130.22
7238J,,1002.42
6582T,,286.24
1151P,,489.79
5692C,,210.43
25716,,229.74
9766K,,152.74
1795A,,8208.1
1254C,,262.09
49425,,497.35
1671S,,3403.16
29049,,4657.07
7271Z,,1981.88
9810E,,154.95
47048,,176.7
59254,,9596.81
44938,,353.14
6581S,,82.58
5208X,,376.29
51204,,4438.71
8295U,,5754.07
76874,,149.35
33885,,6881.94
83101,,5656.04
97966,,477.6
4228C,,106.94
34941,,204.55
1762I,,452.08
8524R,,361.63
6846L,,67.55
3600R,,297.23
7635G,,342.02
4871T,,342.64
16537,,423.41
1847J,,1801.04
4023U,,343.27
4399M,,1636.42
39692,,277.68
1853P,,3468.57
7679T,,347.9
9763E,,242.81
3704H,,116.85
24137,,94.33
73745,,408.19
11956,,238.47
32004,,183.73
4188A,,301.19
3453S,,338.36
9828V,,318.4
71780,,3895.81
37249,,2006.52
22680,,350.25
22684,,6275.47
56458,,257.17
40610,,7197.73
24278,,228.57
5684K,,71.61
70083,,2342.9
8536T,,159.15
24954,,308.15
98329,,441.48
5202P,,430.91
17696,,255.13
7592X,,6407.23
7868I,,75.65
9218B,,9353.85
78279,,295.14
2066R,,123.65
51570,,4767.36
43300,,220.29
13947,,488.13
68501,,6274.71
45668,,101.72
1522W,,119.28
5707R,,441.53
8858P,,580.55
8247T,,430.85
7686H,,341.77
5862N,,307.72
85796,,392.2
7445I,,449.7
7504O,,4493.91
3546V,,74.92
15088,,55.05
98007,,3592.45
13164,,65.67
57116,,9871.29
44997,,277.73
8568J,,1561.59
5663L,,101.64
40593,,184
9209U,,100.81
4757H,,371.14
47629,,5337.62
41068,,279.62
26222,,331.71
5423Z,,150.18
9211I,,452.16
4936J,,405.64
1370V,,438.96
20185,,1549.33
8563M,,384.68
1819C,,454.35
6072U,,478.84
19035,,4009.35
53903,,218.32
3976C,,242.62
93609,,435.65
5670K,,155.98
7733O,,55.81
66809,,468.27
4620F,,247.29
51093,,2234.33
8376D,,337.92
4764Y,,203.98
4053P,,128.47
4131E,,472.24
37065,,225.46
9016V,,190.58
9607Q,,321.5
80333,,108.34
84269,,465.32
1196J,,313.91
58941,,424.51
26340,,96.41
2495C,,134.33
3904H,,160.69
9005M,,379.49
1612P,,145.48
46470,,354.67
16839,,480.01
6364N,,415.61
22400,,289.33
5766I,,316.32
36046,,281.89
83477,,3473.13
6141S,,330.13
2334P,,262.68
36957,,1310.43
33646,,3378.01
8920F,,69.03
6708V,,243.84
6919A,,169.12
1717A,,201.51
4679D,,448.06
6028Q,,167.77
4095Z,,1174.69
6034X,,101.64
6723P,,5984.72
84605,,466.14
19139,,6169.52
91905,,496.75
1123R,,1469.73
9390H,,242.65
49894,,154.35
7044G,,225.64
11180,,175.82
60352,,344.3
8755P,,468.19
9332C,,210.99
7588K,,7747.49
35667,,242.6
28506,,8424.49
81837,,477.56
4485D,,154.06
4388H,,1271.95
27373,,459.31
1759G,,274.68
9000E,,9515.4
81791,,110.58
81181,,107.99
94369,,152.27
2386J,,120.87
9524A,,306.49
5968A,,404.63
44375,,327.33
8090D,,318.96
5577S,,64.35
27913,,351.25
92631,,212.33
29011,,5232.8
1208V,,163.06
41714,,175.69
87111,,381.63
30408,,2273.77
3451U,,106.76
3131U,,3828.23
44343,,62.76
9207J,,178.3
61439,,50.67
1944W,,6240.84
15193,,352.83
24379,,384.05
8923Z,,8313.78
8950Z,,459.31
7443R,,491.54
2865X,,345.76
2397Y,,4824.45
3052A,,7256.84
22174,,132.08
2617L,,353.23
9670P,,57
6662D,,453.16
3524V,,6566.65
44610,,9139.1
17407,,8098.3
57530,,8915.39
2412H,,103.97
56266,,444.38
6098B,,230.43
96485,,367.19
17535,,1278.49
79097,,123.72
5823G,,356.17
55427,,9078.43
1350N,,494.74
7263H,,257.48
49583,,418.81
2224S,,466.51
62991,,268
2975X,,6211.81
66241,,205.74
43931,,59.11
9055O,,330.6
9499W,,258.94
34492,,3576.2
78322,,449.12
58573,,52.13
1983U,,236.06
9081B,,3310.63
2830V,,473.74
9280S,,216.8
2328S,,389.38
1809T,,360.45
25657,,344.23
23733,,461.17
4396G,,9106.28
40581,,168.83
7488E,,95.65
6696B,,189.44
1207W,,486.73
5699U,,7020.71
79023,,167.54
70739,,196.94
14869,,347.95
9314R,,301.71
3905L,,295.04
48811,,429.46
34114,,110.18
4755J,,9934.53
65609,,90.55
77288,,62.92
1749S,,218.15
5133U,,277.25
1294N,,287.69
2631E,,4568.14
8790U,,7425.88
62025,,77.4
56752,,978.37
2906M,,164.06
6007M,,258.31
92113,,347.4
92490,,227.08
28522,,7172.16
6619P,,99.76
1672Q,,402.41
6336M,,417.19
72682,,176.85
5841N,,110.47
59494,,8986.27
65830,,7888.46
14352,,281.7
87351,,154.86
17641,,359.61
1679O,,213.1
2383M,,119.17
1473O,,392.58
45892,,88.13
80377,,476.14
1252N,,398.87
23450,,312.53
84098,,3149.37
88617,,7536.94
3677U,,290.44
2303P,,480.35
7604K,,3742.47
8640I,,379.12
2841Y,,316.09
2342I,,216.77
2190B,,106.32
81576,,289.22
1467U,,156.54
5178N,,304.49
2417W,,301.17
91442,,7531.66
7224C,,53.17
7954Y,,258.4
1037G,,3130.82
6486K,,223.71
3335J,,217.41
45987,,228.81
54600,,454.31
93627,,774.74
2708J,,50.69
79510,,298.38
2229E,,464.58
26219,,474.25
5340H,,478.78
97700,,261.02
75669,,492.8
1339P,,1450.98
13176,,436.77
1155Q,,5101
25913,,216.49
52241,,432.68
72771,,115.91
5473T,,3597.52
41456,,201.45
4258P,,191.47
9328W,,51.08
5480J,,177.34
8166G,,297.12
1894U,,277.87
9965H,,161.67
56808,,479.19
9888H,,160.02
5039V,,156.02
25144,,457.08
3276R,,91.37
2880W,,51.89
4877G,,3912.29
80133,,4138.67
6909R,,6506.72
83772,,385.84
59912,,5746.5
48260,,1040.32
9240Z,,325.93
56055,,256.03
6171T,,390.16
5496H,,102.81
2813A,,496.45
4033H,,284.21
1687Q,,54.15
63497,,374.07
1267P,,128.95
49585,,328.75
81411,,168.89
54003,,124.62
52401,,268.15
33777,,435.22
44130,,1954.71
5498W,,226.49
3443D,,174.2
1815A,,254.83
57321,,238.45
59166,,7293.15
7084P,,499.89
8233O,,347.22
19813,,3518.37
1173C,,475.79
4612O,,78.4
33291,,412.36
9638H,,284.35
97193,,1207.1
77395,,260.52
25342,,265.24
5141F,,1882.42
1972Z,,81.26
69919,,153.47
4473K,,394.42
99703,,219.22
6121F,,3761.84
30049,,1987.57
2806G,,9735.65
23867,,105.94
7492P,,325.8
22570,,424.86
36909,,287.72
2839C,,356.34
1719M,,476.95
43088,,90.02
9733P,,278.69
49048,,316.95
62337,,223.71
3580V,,69.28
6181P,,60.91
26224,,222.58
45545,,145.15
5552L,,91.95
1366S,,243.89
6805E,,378.4
9300X,,8314.92
6447J,,442.39
48280,,6423.96
6780M,,366.03
2558R,,4311.21
26199,,212.08
51871,,71.81
30920,,64.92
2966G,,448.46
1828T,,6302.96
2924H,,206.72
5951U,,4049.62
52638,,50.55
13974,,239.02
99511,,9222.31
65551,,428.25
7251J,,382.36
79026,,181.36
4607J,,5859.25
89116,,3220.58
52087,,428.57
2050K,,366.05
5019Z,,299.11
3594N,,9954.08
95935,,319.72
5660T,,3133.37
4277B,,167.3
21240,,3953.41
45920,,4029.77
69967,,1974.82
42987,,280.31
4376G,,8779.57
43161,,321.66
1463M,,69.31
3911Z,,7502.12
57557,,461.52
1422C,,8450.42
80857,,5957.19
18679,,472.7
85169,,7629.82
3871E,,381.57
5830Q,,65.98
6795E,,182.77
62627,,461.04
5435T,,453.42
57852,,54.56
59114,,90.53
5614Q,,1992.25
8325N,,240.22
2080G,,68.79
59838,,479.79
18540,,4675.95
16065,,6126.1
79748,,7642.38
88084,,5853.04
33284,,465.48
12512,,471.59
5851F,,52.91
1225G,,588.99
94299,,7109.27
4686N,,388.71
9198I,,6221.46
87896,,3268.02
15358,,100.42
4483O,,428.75
5049W,,189.84
51399,,9777.82
4310K,,373.31
5025T,,219.02
6451R,,339.11
48173,,3047.36
9726T,,9357.3
8115K,,4675.08
1412Z,,2042.71
16317,,4660.02
1184N,,334.61
77245,,214.11
30365,,347.94
2142E,,234.39
41842,,243.37
10152,,2953.54
5432Z,,366.61
27528,,1991.49
56412,,440.72
8667F,,155.65
14050,,356.49
2670P,,6993.32
7224O,,2945.81
1126I,,383.77
94333,,353.42
2826Q,,439.77
7791U,,251.05
33377,,5171.32
46281,,4593.98
74122,,168.45
99305,,1156.77
46895,,474.55
5155N,,378.71
2629M,,1823.74
6264R,,448.12
3387H,,2153.04
4432S,,355.9
63034,,232.07
78072,,7946.28
17546,,477.6
65648,,329.6
76117,,62.23
4420K,,361
6103M,,459.86
5896S,,184.17
13275,,1486.77
70033,,377.26
49196,,256.91
50714,,386.89
34432,,5884.12
42811,,236.31
53689,,270.28
3778G,,441.46
6012M,,8075.13
2073B,,7779.79
52435,,456.38
3943J,,102.69
7157D,,67.45
6509J,,7769.1
3102D,,7449.15
43248,,4090.22
30459,,422.97
98387,,323.75
2730L,,79.72
59541,,182.84
6046R,,367.38
8370B,,5631.22
42045,,469.09
69451,,9295.11
2650P,,282.61
4618R,,1728.05
52232,,52.56
1221F,,354.35
26007,,313.1
17978,,343.21
6745G,,5247.43
89102,,8077.59
6613L,,312.73
53453,,216.07
4302L,,469.8
94036,,3881.84
7976F,,164.99
2394K,,272.77
77694,,2143.18
8260L,,2162.97
2788B,,494.63
5473E,,494.93
15401,,483.7
23523,,359.03
46504,,170.17
5121M,,150.58
8926X,,296.02
62348,,481.03
6921P,,347.61
64059,,340.54
34572,,144.2
50382,,242.11
2567Q,,7438.18
91304,,125.31
27585,,422.78
1907B,,289.78
3839T,,6416.78
74894,,87.27
42975,,167.41
5262M,,194.45
4390L,,4705.06
12854,,143.56
23335,,229.33
98599,,158.53
89202,,277.84
77094,,286.97
5981V,,740.67
28697,,114.14
3715X,,2985.26
74903,,227.4
1502B,,371.86
6727T,,294.21
86670,,397.7
7216T,,2234.21
7303G,,223.21
4137K,,2977.54
28011,,177.73
74682,,292.91
7074A,,176.34
3056R,,8147.96
48603,,108.76
91718,,452.86
99105,,9170.06
1791G,,113.18
6613Q,,3086.88
10388,,335.1
73116,,287.73
1849W,,350.41
2715D,,170.46
52619,,498
2838K,,394.4
1629G,,257.73
82802,,9336.05
8482H,,463.76
6385B,,315.11
4178W,,471.27
7973F,,4120.69
49035,,5609.92
8385N,,7597.96
3226R,,414.51
89043,,214.75
2234Q,,423.88
2118M,,104.42
85657,,9013.91
73524,,9496.69
1169W,,52.69
4112K,,462.88
69694,,96.88
2143T,,7128.12
9530Z,,155.23
6779K,,277.18
59402,,7324.51
4411Z,,395.12
92696,,289.61
1617R,,7423.28
5812W,,277.91
4766S,,471.67
3463A,,8960.6
79145,,7542.79
2571R,,173.1
92583,,257.15
5146D,,3751.11
7487Z,,3315.57
63197,,229.06
88395,,1172.55
5190F,,4535.78
76951,,412.65
3038U,,257.54
9844J,,161.02
4115K,,89.63
40209,,363.37
2778F,,1384.7
1254L,,181.36
2674Q,,384.92
7891P,,176.44
5145N,,404.43
6976T,,498.76
4822U,,429.45
1178I,,81.56
20646,,187.04
59840,,161.71
70280,,469.99
49018,,6707.97
29396,,400.11
76098,,206.43
84237,,9351.15
94241,,8910.09
78692,,336.76
39071,,7225.71
4807R,,493.6
3978S,,1214.25
39117,,88.5
6281I,,397.82
1573X,,128.88
94655,,306.79
6495V,,5942.46
5681E,,9143.11
45344,,7662.07
64012,,242.7
41640,,387.7
9978V,,423.32
25410,,353.67
8616G,,203.71
8365U,,132.45
6162S,,352.07
23231,,294.3
69401,,273.39
83640,,75.18
99676,,286.2
95410,,308.96
5864K,,483.84
9647A,,328.79
4593V,,460.19
40204,,355.29
4018Q,,3148.84
1360G,,2214.87
25367,,217.98
96018,,328.29
69478,,373.71
25333,,311.57
8227A,,410.1
45198,,353.29
6619T,,3723.72
1546Q,,266.39
5124X,,102.75
9485X,,400.05
9706Z,,133.9
2952P,,497.2
73067,,6904.2
67692,,406.01
62054,,1240.27
5639J,,405.62
3434L,,253.66
87753,,481.55
60925,,298.98
24926,,306.49
8073N,,480.54
7377R,,442.75
5154M,,6472.69
91802,,9248.8
8555Z,,8267.95
99585,,110.7
73694,,354.26
4854S,,226.99
47630,,2303.3
1805B,,417.64
3184Y,,3642.75
5042G,,384.47
11359,,4902.41
1634W,,355.1
64023,,212.78
1039N,,313.64
6092D,,239.79
2849E,,371.15
5161R,,4066.94
62281,,5661.78
25401,,149.37
6202L,,252.3
1856L,,266.99
7200L,,149.13
82036,,6514.28
2927Z,,378.32
8407O,,429.6
2506B,,360.45
7367V,,1266.75
9628H,,365.91
87075,,282.06
7074J,,134.23
6095J,,481.61
3522V,,423.76
9223T,,349.91
34992,,8270.83
65207,,275.17
6500K,,460.27
4324T,,451.09
2703J,,357.72
8180J,,84.41
49157,,6871.16
9435T,,250.58
3570V,,70.6
29939,,215.65
20023,,226.81
1751F,,2695.48
7549U,,105.24
8192X,,441.93
94417,,107.33
97339,,137.13
7941Z,,9360.95
40939,,112.68
6300A,,328.06
8278Y,,5375.86
9947K,,183
86872,,277.62
89954,,5511.42
91054,,99.67
2990Z,,438.7
5301Z,,9274.9
7967U,,1710.78
5554M,,4616.52
75600,,265.43
72813,,143.74
43417,,368.71
89096,,3021.85
94912,,165.06
50607,,247.79
8180Z,,9814.06
4966L,,465.22
9398T,,7534.47
5209X,,809.89
7771H,,202.47
1709B,,7736.37
27173,,292.92
9682K,,243.29
6495O,,117.91
32924,,299.29
6293I,,50.74
5665Z,,437.38
8831B,,3406.66
3959D,,433.16
1956T,,365.25
9115W,,3313.32
7773D,,119.88
50050,,9573.82
2928C,,2430.75
6979S,,141.02
7571N,,8985.34
57173,,312.54
8884T,,270.26
7757L,,3620.57
1013M,,451.05
4184N,,8252.56
1902G,,342.34
55824,,200.28
42296,,197.22
4532A,,351.12
24450,,497.61
65261,,89.49
1843O,,244.84
6989G,,4918.09
2386K,,8756.52
90976,,190.65
7497W,,3831.72
93972,,343.6
15403,,456.88
61064,,7340.34
61331,,8314.47
35840,,433.82
3124N,,100.09
5905D,,2100.61
9771O,,147.97
4404D,,402.87
2381Y,,3631.18
73012,,99.28
68336,,372.97
4736R,,54.91
36518,,160.04
45094,,235.13
55389,,61.9
7456L,,333.36
5897Z,,283.55
1272V,,67.28
96626,,530.6
9015O,,1790.68
11751,,995.42
86246,,9916.24
4765S,,155.58
1863Y,,440.71
4992W,,146.53
3110H,,5703.79
29995,,78.33
8328U,,463.97
42727,,240.82
2642J,,379.3
14238,,306.21
5476Z,,233.27
7647S,,479.75
59608,,108.05
2357W,,271.68
4587J,,262.8
8055L,,367.5
6122P,,147.23
1845M,,481.77
8680C,,173.69
35701,,9443.94
94001,,298.03
53385,,432.89
1793O,,66.03
31036,,8740.71
71165,,348.69
3348Q,,2381.95
18750,,5744.24
96442,,80.78
3219G,,57.02
45645,,346.62
49803,,69.44
2750Z,,402.22
2234S,,424.68
52759,,3388.14
9585O,,258.18
6282Q,,9334.17
3273T,,421.61
98352,,176.23
92921,,1872.32
32820,,185.15
67508,,263.83
36889,,61.42
6574C,,6208.95
1945I,,233.63
90189,,439.33
58394,,296.82
26390,,343.74
74376,,397.48
8902Q,,160.33
5901H,,223.82
1917J,,276.41
1683A,,381.86
6070Q,,462.52
6252W,,423.97
33702,,291.65
1964C,,157.7
9315P,,405.14
32583,,378.39
7376E,,367.7
7186J,,2168.07
83047,,252.72
8191W,,223.89
60019,,127.55
9929D,,218.21
43953,,6738.33
38734,,241.97
73231,,324.68
2530T,,459.5
51441,,147.22
51636,,453.16
6934Q,,285.32
18458,,171.45
86747,,96.02
6190T,,318.35
37298,,282.57
7040O,,1855.83
7727J,,294
3256I,,330.75
9800D,,155.19
77343,,189.42
19318,,326.64
30310,,456.25
20701,,464.07
7674A,,8937.2
36009,,294.49
9968G,,460.12
1335Q,,469.76
5015C,,836.36
9346T,,7702.76
6164A,,188.34
5795W,,123.68
71938,,337.73
89892,,364.83
3793O,,5649.41
6165R,,5249.83
95746,,8802.46
2458X,,355.84
5500E,,91.88
86827,,95.54
3750Z,,254.38
82919,,322.54
1167O,,346.06
73392,,446.43
2606F,,408.74
4823X,,8683.96
27660,,487.44
6884I,,9461.05
86128,,191.21
5875Q,,8335.64
17007,,6851.81
89141,,170.85
7804K,,252.61
37368,,351.76
2597P,,392.99
1785O,,210.01
21071,,159.44
45444,,494.02
2490P,,162.08
2791V,,455.77
73725,,2443.54
1990W,,323.33
1296A,,295.7
3053X,,284.94
4984P,,361.72
4598D,,234.82
15412,,394.96
8354H,,5387.19
52957,,754.08
35839,,90.04
3175K,,469.74
4216Y,,229.95
13780,,1920.75
5002R,,448.88
1612U,,134.6
7254R,,374.58
18866,,9018.51
1342K,,57.55
4333F,,424.77
9229K,,355.87
1461X,,451.28
23069,,61.89
8044K,,102.67
7810M,,281.41
4612B,,58.82
9979U,,364.46
8531Y,,9846.57
57162,,62.43
58814,,480.25
46431,,223.59
58225,,8464.38
44755,,195.9
62631,,6482.42
81030,,329.87
4720I,,5704.6
1565S,,80.9
71107,,487.1
54478,,262.76
1128M,,531.95
99753,,416.85
1564E,,439.75
67811,,471.93
40160,,287.66
8547R,,416.61
52932,,248.93
30063,,153.89
8948Q,,347.3
59415,,494.54
63209,,143.31
7005F,,278.77
82691,,1256.24
46388,,201.85
95433,,225.74
4463E,,9587.67
9254G,,5082.28
5770P,,253.93
7521B,,256.67
25995,,411.78
27950,,247.85
8231H,,366.63
5207Z,,196.84
70606,,6946.61
7396P,,115.73
62275,,428.48
13997,,281.47
1892B,,350.23
8489O,,3652.09
73736,,331
78241,,9880.47
6072M,,459.09
44751,,103.68
33405,,360.98
15693,,264.54
3255W,,342.67
20428,,371.67
97271,,439.53
72648,,453.52
6136U,,8376
34723,,4733.81
21253,,79.93
7316I,,78.23
7423Y,,101.24
76090,,380.45
7210L,,167.66
54282,,485.59
3677V,,331.54
1133L,,141.93
98912,,7431.68
7065Q,,350.74
41122,,405.16
8292M,,457.23
32516,,194.61
11468,,61.38
33750,,78.67
4392L,,6223.36
99684,,8981.37
15092,,5278.72
9611R,,9202.41
8849F,,334.62
8742L,,137.57
4300F,,61.09
76252,,365.22
34105,,9231.42
4530Q,,434.14
79869,,294.73
17785,,118.4
40133,,7111.13
1910D,,308.55
49459,,306.68
6863N,,127.6
34052,,117.35
8042G,,397.65
34598,,68.26
1996R,,441.11
55637,,94.32
1751M,,438.98
20057,,196.88
66336,,5107.2
42935,,9547.09
77492,,1135.87
3730R,,417.47
37514,,97.53
6210C,,8235.6
8688I,,283.08
8753T,,289.87
1043S,,188.32
1909M,,257.47
72524,,145.43
8212X,,110.18
94383,,251.58
81680,,663.84
2260O,,302.11
6525T,,363.65
8907V,,1533.99
2965V,,395.7
2348C,,226.24
7532L,,158.35
17214,,243.66
97961,,195.43
2174Z,,7406.47
92719,,395.85
57756,,469.41
1337R,,548.84
21234,,93.1
46201,,357.6
2751H,,5069.44
3007E,,258.03
2512K,,278.22
8598O,,145.8
52175,,367.73
1227K,,6779.08
68425,,236.16
69983,,422.05
5254K,,3603.76
8375M,,8205.94
87665,,498.9
17350,,7951.53
8478O,,220.64
1866U,,363.66
38692,,2096.72
5966E,,2386.5
9118K,,438.65
2158P,,2941.29
46325,,417.65
62684,,215.08
6685I,,6760.13
87857,,479.79
75341,,228.6
7027R,,454.71
45059,,476.79
1141Y,,260.5
74703,,460.35
8744U,,286.63
8978C,,272.48
2451H,,455.93
87483,,59.8
5937L,,431.35
66542,,474.26
7660L,,437.63
7799J,,288.59
17844,,3264.62
2042M,,8435.31
2288F,,115.83
9884V,,335.76
31709,,2694.32
21289,,6736.47
8033T,,233.39
3145G,,423.61
4989U,,6713.46
51860,,467.5
2825K,,206.42
40968,,582.68
1291K,,142.62
17910,,8905.91
2790D,,434.13
95863,,364
19898,,63.8
2440L,,239.77
1132J,,119.76
6239G,,307.19
2370A,,1188.75
8446Q,,417.8
5868V,,269.64
74124,,280.16
2220C,,175.54
29647,,7801.59
8069T,,80.86
85120,,1383.51
2238B,,4331.14
14728,,156.63
9826C,,62.14
2800L,,490.24
6339H,,56.97
7843O,,310.51
5383E,,3765.59
1336Q,,462.67
33852,,8586.61
2297S,,5839.85
12656,,294.63
7175N,,438.69
40389,,423.48
2714W,,5735.32
8676H,,443
9594X,,310.01
31113,,139.86
4335S,,288.45
43595,,173.29
95089,,95.4
5896A,,459.24
3851E,,328.22
5776S,,168.6
2919U,,300.13
76522,,200.71
6561B,,135.43
4089W,,71.16
27008,,397.93
20766,,7003.34
53682,,105.62
6564N,,61.03
53553,,207.19
14061,,2607.59
31882,,346.49
7478X,,8763.95
67797,,6884.04
38326,,304.74
6754Q,,177.47
90816,,443.43
44706,,424.51
1867D,,5961.95
40841,,443.14
33174,,217.55
44546,,614.2
5217F,,6937.02
4516G,,7544.95
3835F,,2693.07
56066,,212.13
7519C,,124.07
91571,,5803.16
93531,,2916.27
5313F,,413.73
7297J,,416.92
27704,,4669.17
36803,,450.53
5778T,,256.21
62413,,8756.11
81303,,132.54
61119,,402.36
21855,,5523.69
36694,,163.28
81998,,1767
22475,,345.17
6375Y,,9399.95
68121,,8219.51
85666,,153.87
3460B,,406.86
5477I,,182.42
6705W,,7409.44
12054,,67.8
8067Z,,388.05
62420,,6429.42
8917U,,2386.84
2870R,,965.66
36285,,9023.59
32773,,277.89
5805M,,175.46
8908W,,225.01
4436R,,304.66
1939K,,363.41
37513,,9057.66
9906Y,,296.78
39853,,364.49
32989,,497.87
91627,,279.5
47515,,5121.99
2765D,,482.18
6899I,,362.81
7453A,,9958.16
1246U,,387.5
77911,,5060.76
3921G,,7147.58
20004,,7490.02
69373,,499.62
4813D,,2203.79
94509,,110.39
4751N,,9154.42
35648,,417.13
48586,,457.86
12079,,283.44
3452B,,3426.72
9190V,,468.75
6304S,,8801.4
37224,,486.62
8416U,,413.39
4609C,,291.01
14127,,245.91
96102,,136.31
12416,,3289.27
5159J,,6828.06
9669A,,396.32
6087F,,3495.01
87874,,168.34
75198,,87.61
9772L,,260.32
84956,,135.93
90422,,7096.85
1842Y,,9576.09
1120C,,8526.65
8961K,,169.38
4214U,,112.06
53042,,139.57
3787B,,243.59
23673,,117.58
4754S,,78.06
92338,,1902.53
8254Y,,352.61
76571,,276.52
3741D,,9914.25
3212R,,6382.94
16527,,231.31
2468S,,472.39
5182J,,231.44
2044R,,2057.29
1036V,,160.86
12965,,409.11
9270D,,8107.09
4247C,,210.97
7987I,,306.24
43833,,256.63
8700D,,826.51
73034,,119.12
1300K,,9737.43
6258L,,225.89
98249,,413.67
7737H,,462.03
5359D,,314.9
61157,,361.44
1948U,,6818.01
76605,,448.27
3804R,,64.77
88717,,236.29
2696B,,4269.16
5709X,,86.64
6649H,,462.32
78445,,406.46
7362V,,7986.98
87786,,7972.48
49357,,252.01
5033A,,375.01
92390,,455.27
96379,,456.96
1196N,,153.27
57869,,4281.84
35636,,153.97
3176P,,7010.28
72889,,61.1
42477,,200.82
2907M,,371.77
88973,,228.96
73326,,7205.58
1064T,,95.85
5434V,,9667.71
4291X,,73.35
38852,,165.69
9472S,,235.02
73850,,112.87
99586,,4083.13
31923,,293.45
6922I,,259.75
49113,,55.85
37936,,173.09
4917S,,399.71
4077F,,4372.9
62836,,1506.03
6881T,,9108.8
8443W,,89.49
72599,,193.06
18627,,9162.57
9709B,,289.29
67693,,970.83
42123,,4301.28
35044,,304.03
10513,,458.33
45335,,176.95
9096G,,80.01
95494,,185.9
2673V,,8918.76
65060,,399.97
80567,,175.81
22971,,261.36
40178,,329.05
5696S,,1874.69
27612,,3260.44
2039N,,168.44
52836,,63.54
88941,,60.67
2578D,,236.68
44491,,4935.33
10294,,5027.04
49786,,223.4
8018Q,,5457.17
6772D,,8025.78
2102U,,444.24
63532,,87.97
82835,,151.81
25658,,9476.9
24554,,343.84
11779,,362.78
1292J,,156.94
90240,,232.51
45046,,8747.17
1423J,,284.38
1495D,,8940.62
8844T,,4674.6
59162,,841.71
96145,,120.68
75804,,56.72
8768C,,346.5
4431S,,301.55
5357H,,479
3388F,,321.88
7588U,,412.6
82491,,127.9
9296X,,89.15
4914O,,242.87
8900A,,5341.94
7346U,,103.68
2738E,,7708.8
92240,,465.09
36447,,227.6
29360,,286.55
4373S,,451.85
1476K,,132.61
53919,,4025.07
8621K,,264.15
7101Y,,429.08
1090Y,,472.94
30805,,157.55
8200L,,2788.48
5421K,,137.07
71637,,378.23
47723,,142.68
84664,,262.66
4175C,,497.73
6134L,,454.37
3201N,,4854.79
75719,,140.26
93213,,51.11
9242F,,271.86
65691,,6603.81
4982J,,166.53
7955P,,77.85
1385G,,188.85
46826,,137.23
52266,,312.2
5216K,,4962.02
2205T,,5573.67
1346T,,4887.79
7762B,,104.89
4865D,,254.76
71723,,418.93
8528U,,7874.15
59780,,282.55
73603,,112.97
4247W,,222.58
5993P,,325.74
64184,,95.2
46040,,231.33
59861,,437.13
5202B,,479.74
3834K,,9739.01
27215,,138.21
4293Z,,423.96
93014,,72.7
60285,,436.9
6634A,,333.95
56921,,149.36
2962R,,145.18
91674,,66.45
8075W,,345.54
7997S,,147.69
7638R,,329.58
46359,,119.43
9761U,,96.61
49264,,425.62
25713,,8291.09
4061D,,314.63
3069V,,358.26
15981,,82.69
38037,,5689.47
71681,,4010.42
7841L,,365.82
75385,,146.89
8499J,,4351.53
69563,,98.6
4229D,,1218.42
2080S,,5465.41
16861,,197.26
11562,,5651.44
65351,,99.81
33064,,399.74
64450,,232.76
43906,,6885.62
9983I,,101.05
7139R,,50.74
50038,,2588.26
6682S,,3055.83
7301K,,194.42
4807X,,247.83
3512K,,2695.11
3990V,,201.09
14045,,187.14
